Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Feb-09,Mandurah District,0,0,0,0,0,20,16,4,12,12,0,61,16,45,116,43,71,2,7,7,0,24,17,7,2,0,2,9,0,9,251,308,237,71,62,583,0,0,0,0,5,578,311,34,277,16,5,11,0,1280,1531,143,49,59,26,8,1,6,3,3,22,171,83,59,9,0,50,89,61,17,11,231
Mar-09,Mandurah District,1,1,0,0,0,20,15,5,5,5,0,49,13,36,105,35,61,9,11,10,1,26,15,11,2,0,2,5,1,4,224,251,172,79,67,634,0,0,0,0,2,632,355,26,329,18,8,10,0,1325,1549,135,40,54,27,14,0,5,5,0,19,159,150,45,0,0,45,35,20,9,6,230
Apr-09,Mandurah District,0,0,0,0,0,12,10,2,10,10,0,50,11,39,92,37,49,6,9,8,1,20,12,8,1,0,1,13,2,11,207,237,163,74,53,580,0,0,0,0,2,578,301,29,272,7,1,6,0,1178,1385,96,8,53,25,10,0,6,5,1,16,118,52,20,1,0,19,12,6,2,4,84
May-09,Mandurah District,1,1,0,0,0,64,60,4,21,20,1,62,7,55,79,24,48,7,16,14,2,36,27,9,2,0,2,9,3,6,290,312,227,85,54,579,0,0,0,0,5,574,316,23,293,15,13,2,0,1276,1566,106,17,55,28,6,0,11,7,4,18,135,80,59,0,0,59,102,35,59,8,241
Jun-09,Mandurah District,0,0,0,0,0,22,21,1,2,2,0,49,18,31,79,24,51,4,9,7,2,18,11,7,2,0,2,15,2,13,196,278,219,59,50,587,0,0,0,0,4,583,361,34,327,24,4,20,0,1300,1496,119,7,71,28,12,1,9,8,1,23,151,103,30,1,0,29,32,21,8,3,165
Jul-09,Mandurah District,1,0,0,0,1,13,10,3,3,3,0,48,7,41,92,26,62,4,15,11,4,24,16,8,2,0,2,2,1,1,200,238,162,76,47,488,0,0,0,0,2,486,281,32,249,7,0,7,0,1061,1261,116,6,62,35,12,1,10,7,3,15,141,131,52,2,0,50,45,26,16,3,228
Aug-09,Mandurah District,0,0,0,0,0,7,4,3,7,7,0,45,10,35,126,31,89,6,5,5,0,13,8,5,2,1,1,6,1,5,211,248,173,75,63,487,0,0,0,0,1,486,278,24,254,16,3,13,0,1092,1303,94,9,45,29,11,0,17,11,6,9,120,326,46,3,0,43,43,25,13,5,415
Sep-09,Mandurah District,0,0,0,0,0,9,6,3,52,35,17,48,10,38,83,29,51,3,6,5,1,19,9,10,0,0,0,12,4,8,229,205,147,58,42,499,0,0,0,0,3,496,278,25,253,12,2,10,0,1036,1265,121,9,68,30,13,1,7,6,1,23,151,275,21,1,0,20,233,219,7,7,529
Oct-09,Mandurah District,4,0,0,0,4,26,16,10,16,14,2,62,14,48,93,41,47,5,10,7,3,15,10,5,0,0,0,6,0,6,232,241,176,65,56,494,0,0,0,0,0,494,309,36,273,7,0,7,0,1107,1339,127,12,59,44,11,1,15,11,4,11,153,241,29,2,0,27,45,28,8,9,315
Nov-09,Mandurah District,0,0,0,0,0,12,12,0,2,2,0,48,16,32,79,21,57,1,4,3,1,23,14,9,1,0,1,7,0,7,176,226,159,67,48,447,0,0,0,0,2,445,288,30,258,5,0,5,0,1014,1190,108,7,45,37,19,0,7,5,2,22,137,73,15,0,0,15,30,20,8,2,118
