Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Feb-09,Great Southern District,1,0,0,0,1,19,15,4,0,0,0,15,8,7,44,13,29,2,1,0,1,7,6,1,0,0,0,0,0,0,87,80,46,34,8,176,0,0,0,0,1,175,121,16,105,7,2,5,0,392,479,84,4,35,32,13,0,8,4,4,8,100,14,5,0,0,5,11,3,6,2,30
Mar-09,Great Southern District,0,0,0,0,0,8,4,4,13,11,2,17,4,13,43,17,23,3,2,2,0,5,1,4,2,0,2,0,0,0,90,79,52,27,6,142,0,0,0,0,0,142,110,14,96,4,0,4,0,341,431,77,3,36,20,18,0,4,1,3,3,84,12,8,1,0,7,11,8,1,2,31
Apr-09,Great Southern District,0,0,0,0,0,2,1,1,6,6,0,24,7,17,27,9,13,5,5,3,2,4,2,2,0,0,0,0,0,0,68,75,50,25,17,142,0,0,0,0,6,136,120,18,102,8,0,8,0,362,430,97,8,54,26,9,0,9,4,5,5,111,13,107,0,0,107,10,6,2,2,130
May-09,Great Southern District,0,0,0,0,0,6,4,2,1,1,0,25,10,15,40,13,26,1,2,1,1,7,5,2,1,0,1,1,0,1,83,61,44,17,12,118,0,0,0,0,0,118,112,11,101,7,3,4,0,310,393,75,3,38,25,8,1,4,3,1,4,83,6,9,0,0,9,18,13,3,2,33
Jun-09,Great Southern District,1,0,0,0,1,17,15,2,4,4,0,15,4,11,51,18,31,2,3,2,1,5,4,1,1,0,1,1,0,1,98,74,33,41,8,129,0,0,0,0,3,126,123,12,111,0,0,0,0,334,432,79,2,38,35,4,0,4,3,1,7,90,7,18,1,0,17,10,4,2,4,35
Jul-09,Great Southern District,0,0,0,0,0,3,3,0,1,1,0,25,7,18,30,9,18,3,4,3,1,4,3,1,2,0,2,2,1,1,71,77,38,39,5,127,0,0,0,0,3,124,103,13,90,2,0,2,0,314,385,36,1,17,16,2,0,0,0,0,7,43,9,39,1,0,38,6,4,0,2,54
Aug-09,Great Southern District,1,0,0,0,1,4,3,1,4,4,0,15,5,10,29,7,21,1,4,2,2,7,2,5,0,0,0,0,0,0,64,51,33,18,5,140,0,0,0,0,1,139,80,8,72,3,1,2,0,279,343,58,7,28,18,5,0,6,2,4,13,77,11,17,1,0,16,11,4,5,2,39
Sep-09,Great Southern District,0,0,0,0,0,7,5,2,14,14,0,11,4,7,41,13,21,7,0,0,0,6,2,4,0,0,0,0,0,0,79,57,41,16,5,94,0,0,0,0,1,93,89,7,82,2,0,2,0,247,326,50,4,20,19,6,1,4,3,1,7,61,4,5,0,0,5,16,9,6,1,25
Oct-09,Great Southern District,0,0,0,0,0,5,5,0,1,1,0,27,6,21,39,5,22,12,2,0,2,8,5,3,0,0,0,2,0,2,84,75,53,22,8,137,0,0,0,0,1,136,122,14,108,7,1,6,0,349,433,55,1,26,20,7,1,3,0,3,1,59,9,1,0,0,1,32,26,2,4,42
Nov-09,Great Southern District,0,0,0,0,0,12,10,2,3,3,0,18,6,12,50,21,26,3,2,2,0,6,2,4,0,0,0,1,0,1,92,56,44,12,15,148,0,0,0,0,1,147,102,9,93,5,2,3,0,326,418,77,6,27,34,9,1,1,0,1,12,90,8,2,0,0,2,12,4,1,7,22
