Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Feb-09,Cannington District,1,1,0,0,0,22,14,8,1,1,0,54,17,37,87,24,60,3,5,4,1,30,20,10,2,0,2,35,2,33,237,431,332,99,74,634,0,0,0,0,8,626,361,33,328,9,0,9,0,1509,1746,108,9,65,26,7,1,15,12,3,14,137,58,47,2,0,45,42,17,23,2,147
Mar-09,Cannington District,0,0,0,0,0,41,37,4,5,3,2,62,23,39,136,55,70,11,6,5,1,28,16,12,6,0,6,19,3,16,303,485,341,144,106,582,0,0,0,0,7,575,338,37,301,5,0,5,0,1516,1819,152,22,88,39,2,1,23,17,6,19,194,53,49,1,0,48,34,22,5,7,136
Apr-09,Cannington District,1,0,0,0,1,12,8,4,1,1,0,50,17,33,89,29,53,7,7,7,0,20,16,4,4,0,4,18,2,16,202,418,310,108,73,520,0,0,0,0,6,514,310,34,276,9,0,9,0,1330,1532,151,12,106,28,4,1,22,17,5,14,187,57,16,0,0,16,24,16,4,4,97
May-09,Cannington District,0,0,0,0,0,18,4,14,2,1,1,36,15,21,104,26,70,8,5,5,0,28,26,2,6,0,6,25,3,22,224,406,322,84,88,560,0,0,0,0,4,556,298,23,275,10,0,10,0,1362,1586,240,23,138,72,7,0,25,17,8,14,279,65,132,1,0,131,51,36,12,3,248
Jun-09,Cannington District,0,0,0,0,0,13,6,7,7,6,1,57,13,44,77,20,48,9,8,6,2,21,14,7,8,0,8,19,2,17,210,343,258,85,46,681,0,0,0,0,5,676,360,36,324,4,0,4,0,1434,1644,153,17,91,38,7,0,35,13,22,5,193,55,84,0,0,84,27,16,9,2,166
Jul-09,Cannington District,2,2,0,0,0,4,3,1,7,7,0,53,18,35,98,29,57,12,10,7,3,13,8,5,10,1,9,18,2,16,215,312,237,75,69,562,0,0,0,0,6,556,358,31,327,6,0,6,0,1307,1522,147,19,85,38,5,0,16,15,1,23,186,76,88,1,0,87,62,34,22,6,226
Aug-09,Cannington District,0,0,0,0,0,10,6,4,11,8,3,53,15,38,96,33,57,6,6,5,1,22,13,9,4,0,4,21,3,18,223,312,237,75,50,551,0,0,0,0,5,546,329,31,298,5,0,5,0,1247,1470,140,12,82,35,8,3,20,14,6,17,177,32,28,0,0,28,59,15,44,0,119
Sep-09,Cannington District,0,0,0,0,0,6,5,1,19,16,3,59,13,46,69,31,33,5,4,4,0,25,19,6,1,0,1,22,3,19,205,302,244,58,48,614,0,0,0,0,4,610,256,20,236,5,0,5,0,1225,1430,134,13,74,39,8,0,20,16,4,20,174,41,96,0,0,96,59,52,2,5,196
Oct-09,Cannington District,1,0,0,0,1,9,5,4,28,24,4,48,8,40,90,38,43,9,4,4,0,25,13,12,1,0,1,14,1,13,220,297,227,70,54,580,0,0,0,0,3,577,302,37,265,8,3,5,0,1241,1461,94,4,65,22,3,0,10,6,4,12,116,48,174,0,0,174,45,11,28,6,267
Nov-09,Cannington District,1,1,0,0,0,18,8,10,7,7,0,53,17,36,81,24,53,4,6,4,2,23,21,2,0,0,0,13,2,11,202,273,206,67,44,481,0,0,0,0,12,469,256,18,238,8,0,8,0,1062,1264,83,10,51,18,4,0,13,10,3,6,102,40,72,0,0,72,29,16,6,7,141
Dec-09,Cannington District,0,0,0,0,0,8,4,4,4,4,0,58,18,40,99,35,55,9,10,7,3,31,23,8,1,0,1,28,2,26,239,287,225,62,49,556,0,0,0,0,8,548,298,32,266,4,0,4,0,1194,1433,76,5,49,16,5,1,13,9,4,11,100,52,65,0,0,65,47,39,3,5,164
Jan-10,Cannington District,0,0,0,0,0,13,9,4,0,0,0,72,20,52,81,30,48,3,6,5,1,22,16,6,3,0,3,25,1,24,222,360,301,59,69,560,0,0,0,0,8,552,313,18,295,15,1,14,0,1317,1539,86,6,58,18,4,0,19,13,6,8,113,50,47,3,0,44,48,33,11,4,145
Feb-10,Cannington District,0,0,0,0,0,15,10,5,2,1,1,50,10,40,90,39,46,5,8,8,0,18,8,10,1,0,1,28,2,26,212,302,251,51,51,552,0,0,0,0,5,547,269,24,245,9,1,8,0,1183,1395,130,12,83,32,2,1,18,17,1,16,164,31,61,0,0,61,33,10,17,6,125
Mar-10,Cannington District,1,0,0,0,1,19,7,12,12,12,0,51,11,40,96,31,58,7,4,4,0,23,17,6,2,0,2,29,1,28,237,331,289,42,51,635,0,0,0,0,2,633,289,28,261,3,0,3,0,1309,1546,102,5,67,24,6,0,10,8,2,4,116,32,50,0,0,50,45,32,10,3,127
Apr-10,Cannington District,1,0,0,0,1,9,7,2,8,4,4,47,18,29,62,23,36,3,5,5,0,17,7,10,4,0,4,24,6,18,177,330,280,50,58,616,0,0,0,0,4,612,273,24,249,4,0,4,0,1281,1458,71,2,41,22,6,0,12,11,1,8,91,74,22,0,0,22,26,18,3,5,122
May-10,Cannington District,1,1,0,0,0,15,6,9,27,27,0,38,11,27,78,28,47,3,9,7,2,19,11,8,1,0,1,25,3,22,213,289,253,36,40,609,0,0,0,0,3,606,219,26,193,3,0,3,0,1160,1373,131,9,79,35,8,0,26,20,6,9,166,32,51,1,0,50,35,20,11,4,118
Jun-10,Cannington District,1,0,1,0,0,8,5,3,11,10,1,56,8,48,63,17,42,4,4,4,0,17,8,9,0,0,0,24,2,22,184,282,234,48,62,512,0,0,0,0,2,510,234,28,206,5,0,5,0,1095,1279,80,4,47,25,4,0,11,8,3,7,98,43,550,5,0,545,28,16,8,4,621
