Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-09,Goldfields Esperance District,1,0,0,1,0,8,6,2,23,23,0,90,46,44,69,28,29,12,5,4,1,20,12,8,3,0,3,3,0,3,222,94,68,26,17,162,0,0,0,0,3,159,177,32,145,7,3,4,0,457,679,43,1,16,10,1,15,11,5,6,4,58,10,2,0,0,2,50,37,1,12,62
Feb-09,Goldfields Esperance District,0,0,0,0,0,19,19,0,12,12,0,44,15,29,75,33,20,22,2,1,1,20,12,8,1,0,1,5,1,4,178,70,48,22,12,156,0,0,0,0,5,151,152,24,128,7,2,5,0,397,575,81,5,42,26,7,1,15,10,5,9,105,8,100,0,0,100,17,6,9,2,125
Mar-09,Goldfields Esperance District,0,0,0,0,0,20,19,1,6,6,0,46,20,26,67,16,44,7,2,2,0,20,11,9,0,0,0,4,0,4,165,83,56,27,15,148,0,0,0,0,1,147,137,24,113,4,1,3,0,387,552,79,12,28,25,4,10,11,7,4,17,107,11,37,0,0,37,14,5,7,2,62
Apr-09,Goldfields Esperance District,0,0,0,0,0,24,13,11,3,3,0,37,16,21,47,18,25,4,3,2,1,3,0,3,3,0,3,6,0,6,126,72,42,30,17,159,0,0,0,0,3,156,122,21,101,6,0,6,0,376,502,74,4,35,20,2,13,11,4,7,15,100,11,4,0,0,4,20,10,6,4,35
May-09,Goldfields Esperance District,2,1,1,0,0,5,4,1,1,1,0,54,26,28,67,28,35,4,9,7,2,7,2,5,0,0,0,3,0,3,148,64,47,17,18,153,0,0,0,0,1,152,96,19,77,6,0,6,0,337,485,115,16,40,28,4,27,10,8,2,17,142,10,3,2,0,1,24,16,2,6,37
Jun-09,Goldfields Esperance District,1,0,0,0,1,10,8,2,8,7,1,38,15,23,44,16,21,7,3,1,2,10,3,7,2,1,1,4,0,4,120,74,53,21,8,151,0,0,0,0,2,149,91,15,76,4,1,3,0,328,448,79,15,28,27,4,5,6,3,3,10,95,6,9,0,0,9,14,6,3,5,29
Jul-09,Goldfields Esperance District,0,0,0,0,0,3,1,2,6,6,0,58,23,35,41,18,19,4,9,6,3,10,7,3,2,0,2,5,1,4,134,84,60,24,18,169,0,0,0,0,2,167,138,17,121,2,0,2,0,411,545,94,3,28,41,8,14,10,9,1,15,119,30,6,0,0,6,5,3,0,2,41
Aug-09,Goldfields Esperance District,1,1,0,0,0,18,2,16,13,12,1,55,19,36,60,30,22,8,3,0,3,13,6,7,4,0,4,2,0,2,169,71,44,27,17,181,0,0,0,0,2,179,129,14,115,2,0,2,0,400,569,68,5,26,28,5,4,6,5,1,6,80,7,8,0,0,8,10,6,3,1,25
Sep-09,Goldfields Esperance District,1,0,0,0,1,10,6,4,1,1,0,39,17,22,46,19,24,3,3,2,1,13,7,6,1,0,1,4,0,4,118,93,72,21,21,157,0,0,0,0,1,156,121,16,105,3,0,3,0,395,513,79,8,30,30,8,3,3,3,0,14,96,6,5,0,0,5,14,10,0,4,25
Oct-09,Goldfields Esperance District,1,0,0,0,1,15,14,1,0,0,0,58,20,38,56,16,33,7,7,6,1,13,7,6,4,0,4,2,0,2,156,82,52,30,12,149,0,0,0,0,3,146,137,16,121,5,2,3,0,385,541,93,11,32,32,5,13,6,6,0,11,110,8,10,0,0,10,21,14,4,3,39
