Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Oct-11,Kimberley District,0,0,0,0,0,6,5,1,0,0,0,80,41,39,52,21,25,6,5,3,2,4,1,3,0,0,0,3,1,2,150,87,60,27,22,75,0,0,0,0,0,75,96,16,80,10,1,9,0,290,440,54,3,28,23,0,0,10,4,6,2,66,2,3,0,0,3,10,9,0,1,15
Nov-11,Kimberley District,0,0,0,0,0,7,7,0,6,6,0,71,30,41,46,16,27,3,2,0,2,7,2,5,1,0,1,1,0,1,141,67,32,35,22,100,0,0,0,0,2,98,73,6,67,4,3,1,0,266,407,65,8,32,22,1,2,7,3,4,6,78,3,2,0,0,2,27,15,1,11,32
Dec-11,Kimberley District,2,1,0,0,1,14,12,2,3,3,0,84,29,55,48,18,23,7,3,2,1,9,0,9,0,0,0,1,0,1,164,111,54,57,26,91,0,0,0,0,1,90,90,22,68,3,1,2,0,321,485,35,3,13,17,2,0,8,6,2,7,50,2,4,1,0,3,28,16,3,9,34
Jan-12,Kimberley District,1,0,0,1,0,5,5,0,0,0,0,101,37,64,30,14,13,3,5,3,2,10,3,7,2,0,2,0,0,0,154,106,72,34,34,86,0,0,0,0,2,84,123,24,99,2,0,2,0,351,505,39,2,18,19,0,0,8,4,4,19,66,5,7,0,0,7,33,22,0,11,45
Feb-12,Kimberley District,1,0,0,1,0,11,10,1,5,4,1,65,31,34,41,17,16,8,5,2,3,7,3,4,2,0,2,1,0,1,138,111,59,52,15,76,0,0,0,0,5,71,90,20,70,2,0,2,0,294,432,34,0,19,14,1,0,4,0,4,6,44,4,88,0,0,88,31,20,4,7,123
Mar-12,Kimberley District,0,0,0,0,0,6,6,0,1,1,0,79,37,42,36,14,14,8,8,2,6,1,0,1,0,0,0,2,0,2,133,135,89,46,32,115,0,0,0,0,1,114,92,15,77,4,0,4,0,378,511,29,0,14,14,1,0,11,5,6,3,43,5,0,0,0,0,48,42,1,5,53
Apr-12,Kimberley District,0,0,0,0,0,7,7,0,5,5,0,55,30,25,31,11,13,7,4,1,3,6,2,4,2,0,2,0,0,0,110,122,80,42,33,74,0,0,0,0,0,74,93,16,77,4,0,4,0,326,436,19,0,9,10,0,0,2,1,1,5,26,8,10,0,0,10,20,14,2,4,38
May-12,Kimberley District,1,0,0,1,0,7,6,1,12,11,1,70,27,43,47,14,21,12,1,1,0,9,7,2,2,0,2,1,0,1,150,57,41,16,9,90,0,0,0,0,1,89,72,19,53,2,0,2,0,230,380,53,5,25,23,0,0,4,2,2,8,65,7,117,0,0,117,14,9,1,4,138
Jun-12,Kimberley District,0,0,0,0,0,7,7,0,3,3,0,59,31,28,43,12,21,10,4,4,0,9,3,6,0,0,0,2,0,2,127,50,34,16,17,78,0,0,0,0,1,77,77,15,62,5,5,0,0,227,354,47,9,20,16,1,1,2,1,1,1,50,8,11,0,0,11,18,7,2,9,37
Jul-12,Kimberley District,0,0,0,0,0,6,5,1,0,0,0,88,36,52,26,9,12,5,11,7,4,4,2,2,2,0,2,3,0,3,140,52,32,20,13,95,0,0,0,0,1,94,82,12,70,5,1,4,0,247,387,40,1,22,17,0,0,6,4,2,4,50,4,67,0,0,67,33,19,1,13,104
Aug-12,Kimberley District,0,0,0,0,0,5,5,0,7,6,1,92,48,44,35,15,10,10,7,1,6,10,6,4,3,0,3,0,0,0,159,47,29,18,12,93,0,0,0,0,2,91,102,13,89,4,1,3,0,258,417,53,7,20,25,1,0,3,2,1,4,60,5,2,0,0,2,31,15,1,15,38
Sep-12,Kimberley District,0,0,0,0,0,8,7,1,13,13,0,74,33,41,47,13,23,11,7,5,2,4,0,4,1,0,1,4,0,4,158,65,37,28,12,79,0,0,0,0,1,78,93,12,81,13,5,8,0,262,420,54,6,24,24,0,0,4,4,0,2,60,5,5,0,0,5,18,9,1,8,28
Oct-12,Kimberley District,0,0,0,0,0,12,10,2,3,3,0,100,42,58,41,17,12,12,6,2,4,17,3,14,0,0,0,0,0,0,179,80,43,37,23,91,0,0,0,0,1,90,81,10,71,4,0,4,0,279,458,66,11,30,22,0,3,7,7,0,3,76,2,211,0,0,211,24,11,2,11,237
Nov-12,Kimberley District,1,1,0,0,0,10,8,2,1,1,0,86,39,47,40,15,16,9,4,1,3,10,2,8,1,0,1,3,0,3,156,97,67,30,28,88,0,0,0,0,1,87,102,21,81,1,0,1,0,316,472,68,23,30,14,1,0,7,4,3,5,80,9,6,0,0,6,25,9,2,14,40
