Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Damage by Fire,Cause Bushfire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Cultivate or Manufacture Drugs,Drug Possession,Possession of Drug Paraphernalia,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Western Australia,11,4,2,0,5,203,138,65,144,134,10,863,224,639,1099,330,662,107,94,72,22,247,160,87,35,1,34,188,18,170,2884,3677,2418,1259,717,7131,0,0,0,0,53,7078,3854,282,3572,120,97,23,0,15499,18383,1318,108,76,691,441,2,134,75,59,178,1630,892,605,32,0,573,472,333,84,55,1969
Feb-07,Western Australia,2,0,0,0,2,179,131,48,140,132,8,739,217,522,1151,367,680,104,86,69,17,264,161,103,33,3,30,151,14,137,2745,3123,2133,990,621,6148,0,0,0,0,45,6103,3336,237,3099,100,72,28,0,13328,16073,1286,86,114,679,404,3,150,106,44,178,1614,1080,543,19,0,524,472,323,96,53,2095
Mar-07,Western Australia,7,3,1,0,3,180,146,34,112,109,3,731,217,514,1273,405,781,87,80,62,18,260,166,94,29,4,25,203,25,178,2875,3421,2332,1089,649,6785,0,0,0,0,46,6739,3783,318,3465,108,92,16,0,14746,17621,1316,131,105,680,394,6,161,98,63,169,1646,1391,625,17,0,608,655,448,165,42,2671
Apr-07,Western Australia,2,2,0,0,0,232,165,67,224,215,9,618,201,417,1071,337,639,95,59,47,12,203,132,71,22,0,22,173,11,162,2604,2900,1904,996,532,6301,0,0,0,0,42,6259,3210,242,2968,82,75,7,0,13025,15629,1465,146,80,814,408,17,187,145,42,198,1850,1044,503,10,0,493,481,352,83,46,2028
May-07,Western Australia,13,4,3,1,5,202,152,50,159,147,12,641,185,456,1038,329,617,92,85,67,18,240,164,76,40,8,32,158,24,134,2576,2907,1911,996,575,6763,0,0,0,0,48,6715,3326,242,3084,83,76,7,0,13654,16230,1943,268,101,975,593,6,160,103,57,220,2323,1152,778,17,0,761,535,398,89,48,2465
Jun-07,Western Australia,6,1,1,2,2,186,134,52,197,168,29,575,169,406,1029,298,634,97,72,58,14,186,116,70,24,2,22,140,19,121,2415,2683,1743,940,490,6295,0,0,0,0,47,6248,3314,283,3031,94,91,3,0,12876,15291,1744,209,79,932,515,9,181,130,51,227,2152,1181,590,11,0,579,424,297,87,40,2195
Jul-07,Western Australia,8,1,0,1,6,190,123,67,196,191,5,570,170,400,1015,337,593,85,65,50,15,195,130,65,23,1,22,156,25,131,2418,2954,1936,1018,597,6241,0,0,0,0,48,6193,3301,282,3019,87,84,3,0,13180,15598,1425,135,76,767,445,2,157,111,46,174,1756,1564,462,15,0,447,352,222,79,51,2378
Aug-07,Western Australia,9,4,0,0,5,154,114,40,167,162,5,645,180,465,1083,352,614,117,84,68,16,221,143,78,32,2,30,165,21,144,2560,3062,1904,1158,581,6462,0,0,0,0,38,6424,3447,294,3153,111,102,9,0,13663,16223,1647,186,74,905,474,8,151,99,52,176,1974,1379,729,21,0,708,567,387,118,62,2675
Sep-07,Western Australia,11,0,1,1,9,168,122,46,110,106,4,695,186,509,1106,350,651,105,92,74,18,269,176,93,31,4,27,145,11,134,2627,3084,2057,1027,577,6417,0,0,0,0,47,6370,3297,316,2981,103,99,4,0,13478,16105,1567,159,71,846,487,4,178,114,64,182,1927,1681,393,10,0,383,455,307,90,58,2529
Oct-07,Western Australia,6,1,0,1,4,196,132,64,199,191,8,635,188,447,1155,385,696,74,71,57,14,224,132,92,27,1,26,180,21,159,2693,3411,2338,1073,637,6994,0,0,0,0,36,6958,3738,370,3368,138,124,14,0,14918,17611,1283,95,62,716,407,3,154,105,49,162,1599,1569,493,16,0,477,503,356,92,55,2565
Nov-07,Western Australia,12,5,2,0,5,176,134,42,167,154,13,774,224,550,1326,446,761,119,89,68,21,246,148,98,30,6,24,140,14,126,2960,3277,2244,1033,602,6735,0,0,0,0,56,6679,3657,358,3299,118,103,15,0,14389,17349,1198,106,52,669,368,3,157,84,73,182,1537,1215,596,31,0,565,588,405,121,62,2399
Dec-07,Western Australia,15,4,0,1,10,185,135,50,107,106,1,725,206,519,1241,421,708,112,78,54,24,223,136,87,33,0,33,139,11,128,2746,3362,2219,1143,612,6575,0,0,0,0,42,6533,3928,389,3539,121,104,17,0,14598,17344,1188,108,92,621,365,2,141,101,40,207,1536,1581,697,10,0,687,442,261,96,85,2720
Jan-08,Western Australia,10,1,1,0,8,209,156,53,104,102,2,822,241,581,1290,498,659,133,100,74,26,205,131,74,32,6,26,158,17,141,2930,3573,2361,1212,741,7035,0,0,0,0,43,6992,4138,420,3718,156,120,36,0,15643,18573,1157,116,95,593,351,2,153,102,51,212,1522,1565,760,29,0,731,528,341,122,65,2853
Feb-08,Western Australia,6,1,3,0,2,190,150,40,145,131,14,745,240,505,1167,420,673,74,102,75,27,264,152,112,27,2,25,126,16,110,2772,3462,2285,1177,749,6594,0,0,0,0,49,6545,3651,365,3286,128,104,24,0,14584,17356,1220,123,88,624,382,3,232,161,71,221,1673,1130,570,10,0,560,469,289,118,62,2169
Mar-08,Western Australia,14,5,0,0,9,255,180,75,147,115,32,666,201,465,1217,400,717,100,77,55,22,234,137,97,25,3,22,135,14,121,2770,3528,2275,1253,726,6836,0,0,0,0,64,6772,3712,386,3326,157,119,38,0,14959,17729,1418,175,87,745,391,20,214,130,84,206,1838,884,559,14,0,545,623,452,124,47,2066
Apr-08,Western Australia,8,4,1,1,2,208,145,63,83,77,6,622,204,418,980,327,589,64,56,43,13,203,136,67,18,1,17,137,17,120,2315,3175,2020,1155,640,7076,0,0,0,0,58,7018,3383,389,2994,82,80,2,0,14356,16671,1323,122,51,781,357,12,157,106,51,202,1682,926,651,20,0,631,460,297,114,49,2037
May-08,Western Australia,4,0,0,0,4,155,119,36,92,89,3,625,207,418,1159,390,665,104,65,39,26,213,112,101,34,2,32,147,12,135,2494,3416,2297,1119,647,7545,0,0,0,0,68,7477,3421,365,3056,100,91,9,0,15129,17623,1724,152,53,1013,496,10,230,154,76,200,2154,1596,803,30,0,773,489,290,137,62,2888
Jun-08,Western Australia,13,4,0,1,8,146,99,47,242,219,23,556,178,378,1011,342,559,110,78,54,24,196,121,75,25,1,24,178,25,153,2445,3279,2256,1023,633,7223,0,0,0,0,60,7163,3561,349,3212,84,83,1,0,14780,17225,1514,126,53,888,438,9,237,170,67,239,1990,1056,700,18,0,682,464,326,96,42,2220
Jul-08,Western Australia,6,3,0,0,3,150,106,44,133,131,2,561,186,375,949,317,537,95,68,57,11,216,123,93,29,2,27,124,18,106,2236,2960,1984,976,594,6780,0,0,0,0,47,6733,3385,400,2985,100,91,9,0,13819,16055,1693,200,66,860,520,47,280,194,86,203,2176,1412,686,26,0,660,515,357,99,59,2613
Aug-08,Western Australia,6,2,0,1,3,183,133,50,88,77,11,545,184,361,1190,369,674,147,73,51,22,250,148,102,27,1,26,175,19,156,2537,2981,2103,878,659,6689,0,0,0,0,35,6654,3220,379,2841,97,87,10,0,13646,16183,1541,151,63,841,464,22,246,122,124,212,1999,1278,521,7,0,514,559,414,90,55,2358
Sep-08,Western Australia,8,3,0,1,4,192,136,56,217,208,9,610,218,392,1165,391,651,123,82,65,17,251,146,105,34,0,34,166,13,153,2725,2971,2013,958,570,6793,0,0,0,0,50,6743,3531,413,3118,125,121,4,0,13990,16715,1477,125,71,806,463,12,219,157,62,211,1907,1394,585,9,0,576,505,347,103,55,2484
Oct-08,Western Australia,7,2,1,1,3,208,137,71,134,129,5,702,249,453,1237,436,693,108,69,50,19,240,140,100,20,2,18,126,11,115,2743,3083,2031,1052,606,7092,0,0,0,0,60,7032,3722,435,3287,106,96,10,0,14609,17352,1466,135,84,793,440,14,181,125,56,180,1827,1422,578,22,0,556,496,295,131,70,2496
Nov-08,Western Australia,12,6,1,0,5,252,191,61,148,139,9,682,216,466,1237,413,715,109,77,59,18,210,119,91,38,1,37,152,16,136,2808,2963,1832,1131,588,6354,0,0,0,0,46,6308,3632,421,3211,106,94,12,0,13643,16451,1327,101,79,752,377,18,161,110,51,229,1717,1127,737,8,0,729,537,358,102,77,2401
Dec-08,Western Australia,5,1,0,1,3,166,124,42,72,51,21,778,239,539,1120,407,590,123,93,71,22,230,134,96,28,7,21,147,11,136,2639,2735,1857,878,515,5847,0,0,0,0,44,5803,3498,442,3056,145,119,26,0,12740,15379,1529,140,113,839,413,24,235,167,68,212,1976,1324,545,12,0,533,513,330,103,80,2382
Jan-09,Western Australia,6,3,0,1,2,186,134,52,105,104,1,838,306,532,1312,493,645,174,114,97,17,261,173,88,41,2,39,153,27,126,3016,3098,2117,981,652,6717,0,0,0,0,46,6671,3905,509,3396,165,128,37,0,14537,17553,1377,96,100,789,373,19,278,228,50,158,1813,1169,910,10,0,900,546,355,118,73,2625
Feb-09,Western Australia,13,8,0,0,5,211,167,44,155,147,8,706,235,471,1207,428,659,120,70,51,19,269,173,96,26,6,20,163,20,143,2820,3007,2107,900,588,6290,0,0,0,0,49,6241,3463,395,3068,119,100,19,0,13467,16287,1445,205,150,713,368,9,209,157,52,164,1818,988,757,42,0,715,608,406,144,58,2353
Mar-09,Western Australia,7,2,1,0,4,279,194,85,158,149,9,717,243,474,1381,515,755,111,74,59,15,264,160,104,26,2,24,172,17,155,3078,3238,2181,1057,660,6383,0,0,0,0,55,6328,3857,480,3377,131,102,29,0,14269,17347,1438,170,119,741,396,12,166,110,56,198,1802,1485,483,17,0,466,483,308,117,58,2451
