Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-10,Perth District,0,0,0,0,0,16,8,8,2,2,0,23,5,18,162,57,88,17,4,4,0,20,14,6,0,0,0,29,1,28,256,120,76,44,15,521,0,0,0,0,3,518,139,24,115,3,0,3,0,798,1054,126,11,86,29,0,0,14,10,4,14,154,37,82,1,0,81,16,5,10,1,135
May-10,Perth District,0,0,0,0,0,9,7,2,1,1,0,23,6,17,148,55,78,15,3,3,0,18,9,9,0,0,0,17,1,16,219,94,59,35,22,638,0,0,0,0,6,632,183,27,156,1,0,1,0,938,1157,135,9,93,31,2,0,14,12,2,15,164,127,47,3,0,44,44,5,10,29,218
Jun-10,Perth District,0,0,0,0,0,12,9,3,31,24,7,20,5,15,149,52,90,7,0,0,0,16,3,13,0,0,0,18,1,17,246,113,72,41,28,555,0,0,0,0,0,555,170,25,145,3,0,3,0,869,1115,95,5,69,20,1,0,37,35,2,7,139,15,74,2,0,72,30,7,22,1,119
Jul-10,Perth District,0,0,0,0,0,22,14,8,2,2,0,16,4,12,146,44,88,14,1,1,0,22,9,13,0,0,0,20,3,17,229,107,81,26,25,550,0,0,0,0,1,549,155,21,134,5,0,5,0,842,1071,230,110,96,22,2,0,8,5,3,3,241,18,51,1,0,50,15,12,2,1,84
Aug-10,Perth District,2,2,0,0,0,19,15,4,23,23,0,24,9,15,148,64,79,5,1,0,1,19,7,12,2,1,1,15,0,15,253,116,80,36,26,541,0,0,0,0,5,536,184,18,166,4,0,4,0,871,1124,119,14,72,29,2,2,15,12,3,16,150,24,115,4,0,111,15,11,2,2,154
Sep-10,Perth District,1,0,0,1,0,10,9,1,4,4,0,27,7,20,164,55,106,3,2,2,0,18,13,5,0,0,0,17,3,14,243,159,122,37,26,702,0,0,0,0,4,698,201,18,183,8,0,8,0,1096,1339,147,6,102,35,4,0,12,8,4,6,165,47,121,5,0,116,13,9,2,2,181
Oct-10,Perth District,0,0,0,0,0,11,8,3,2,2,0,21,6,15,153,62,84,7,2,2,0,14,3,11,0,0,0,34,5,29,237,172,103,69,25,666,0,0,0,0,5,661,196,15,181,3,0,3,0,1062,1299,106,5,72,28,1,0,24,15,9,2,132,80,118,9,0,109,20,17,2,1,218
Nov-10,Perth District,0,0,0,0,0,10,8,2,0,0,0,16,3,13,135,42,78,15,2,2,0,23,11,12,1,0,1,21,0,21,208,113,82,31,33,647,0,0,0,0,4,643,168,24,144,0,0,0,0,961,1169,127,11,94,22,0,0,26,22,4,17,170,25,64,2,0,62,21,9,7,5,110
Dec-10,Perth District,0,0,0,0,0,15,11,4,2,2,0,19,1,18,195,69,120,6,2,2,0,23,15,8,0,0,0,15,0,15,271,116,75,41,23,505,0,0,0,0,4,501,181,23,158,4,0,4,0,829,1100,142,13,93,35,1,0,12,8,4,17,171,28,70,9,0,61,20,16,3,1,118
Jan-11,Perth District,0,0,0,0,0,17,11,6,24,5,19,38,8,30,185,73,102,10,0,0,0,17,11,6,2,0,2,29,4,25,312,138,90,48,32,593,0,0,0,0,6,587,176,25,151,3,0,3,0,942,1254,85,2,62,21,0,0,10,6,4,17,112,36,21,1,0,20,12,6,3,3,69
Feb-11,Perth District,0,0,0,0,0,21,8,13,10,2,8,20,1,19,183,64,101,18,1,1,0,19,9,10,0,0,0,26,3,23,280,133,82,51,31,629,0,0,0,0,4,625,207,37,170,2,0,2,0,1002,1282,149,11,115,22,1,0,17,2,15,13,179,37,96,4,0,92,21,12,8,1,154
Mar-11,Perth District,0,0,0,0,0,14,12,2,0,0,0,29,12,17,156,55,89,12,2,2,0,30,19,11,3,1,2,24,0,24,258,160,92,68,43,713,0,0,0,0,7,706,193,33,160,1,0,1,0,1110,1368,97,8,66,21,2,0,17,13,4,15,129,35,135,8,0,127,33,27,5,1,203
Apr-11,Perth District,0,0,0,0,0,15,13,2,30,18,12,20,3,17,154,64,71,19,1,1,0,15,5,10,2,0,2,21,3,18,258,161,106,55,32,649,0,0,0,0,4,645,166,20,146,1,1,0,0,1009,1267,106,5,80,20,1,0,20,16,4,17,143,38,133,7,0,126,44,11,33,0,215
May-11,Perth District,0,0,0,0,0,7,4,3,2,2,0,23,9,14,142,48,83,11,1,1,0,21,14,7,2,0,2,25,1,24,223,138,82,56,45,733,0,0,0,0,1,732,223,32,191,6,0,6,0,1145,1368,87,12,48,25,2,0,29,25,4,12,128,29,95,1,0,94,31,23,6,2,155
Jun-11,Perth District,0,0,0,0,0,18,2,16,8,8,0,27,7,20,127,56,60,11,2,2,0,11,7,4,1,0,1,37,1,36,231,123,71,52,21,730,0,0,0,0,1,729,173,20,153,2,0,2,0,1049,1280,80,5,51,22,2,0,16,14,2,5,101,60,48,1,0,47,19,17,1,1,127
Jul-11,Perth District,0,0,0,0,0,12,9,3,3,1,2,16,2,14,168,54,106,8,2,2,0,17,9,8,1,0,1,22,2,20,241,121,64,57,22,732,0,0,0,0,4,728,237,23,214,2,0,2,0,1114,1355,84,11,55,17,1,0,17,9,8,15,116,48,63,2,0,61,21,16,2,3,132
Aug-11,Perth District,1,1,0,0,0,16,5,11,1,0,1,29,6,23,143,45,91,7,0,0,0,15,12,3,0,0,0,25,2,23,230,106,68,38,25,728,0,0,0,0,6,722,235,35,200,1,0,1,0,1095,1325,106,6,72,27,1,0,18,16,2,11,135,61,65,0,0,65,52,29,20,3,178
Sep-11,Perth District,0,0,0,0,0,18,7,11,5,4,1,21,2,19,125,50,69,6,3,3,0,13,7,6,2,0,2,22,2,20,209,173,123,50,32,704,0,0,0,0,1,703,188,15,173,2,1,1,0,1099,1308,98,6,70,21,1,0,24,21,3,8,130,28,110,0,0,110,16,13,3,0,154
Oct-11,Perth District,0,0,0,0,0,11,8,3,7,4,3,37,4,33,169,62,95,12,4,3,1,22,9,13,1,0,1,27,3,24,278,181,124,57,37,732,0,0,0,0,0,732,222,23,199,9,6,3,0,1181,1459,107,10,68,29,0,0,22,15,7,17,146,28,97,9,0,88,11,7,2,2,136
Nov-11,Perth District,0,0,0,0,0,15,8,7,7,4,3,20,6,14,127,51,70,6,1,1,0,10,4,6,0,0,0,22,1,21,202,189,114,75,29,640,0,0,0,0,3,637,183,24,159,1,0,1,0,1042,1244,91,8,59,23,1,0,25,18,7,10,126,35,45,2,0,43,21,10,6,5,101
Dec-11,Perth District,1,0,0,0,1,10,8,2,2,1,1,40,10,30,155,54,92,9,0,0,0,13,5,8,1,0,1,8,0,8,230,199,109,90,45,604,0,0,0,0,3,601,150,20,130,4,0,4,0,1002,1232,90,3,67,20,0,0,15,15,0,10,115,30,39,2,0,37,14,3,10,1,83
Jan-12,Perth District,2,1,0,0,1,16,11,5,2,2,0,41,10,31,173,69,85,19,6,6,0,32,19,13,0,0,0,23,0,23,295,175,126,49,54,662,0,0,0,0,1,661,164,31,133,3,0,3,0,1058,1353,93,5,61,27,0,0,29,22,7,13,135,36,137,3,0,134,18,10,3,5,191
Feb-12,Perth District,0,0,0,0,0,18,9,9,1,1,0,28,5,23,158,58,87,13,4,4,0,13,4,9,0,0,0,21,6,15,243,166,109,57,48,727,0,0,0,0,7,720,172,31,141,8,0,8,0,1121,1364,102,10,63,27,2,0,20,17,3,23,145,31,73,3,0,70,19,9,2,8,123
Mar-12,Perth District,2,0,0,0,2,11,7,4,2,1,1,21,3,18,160,56,90,14,6,3,3,23,14,9,2,0,2,22,4,18,249,146,108,38,39,652,0,0,0,0,4,648,193,24,169,3,1,2,0,1033,1282,104,11,70,23,0,0,26,17,9,13,143,30,109,1,0,108,13,6,3,4,152
Apr-12,Perth District,0,0,0,0,0,13,6,7,18,6,12,33,5,28,119,29,72,18,2,1,1,23,12,11,0,0,0,28,4,24,236,154,113,41,40,638,0,0,0,0,2,636,159,20,139,2,0,2,0,993,1229,81,8,56,17,0,0,33,27,6,14,128,25,216,0,0,216,15,5,8,2,256
May-12,Perth District,0,0,0,0,0,31,7,24,2,1,1,25,2,23,117,38,64,15,1,1,0,18,7,11,1,0,1,22,2,20,217,128,85,43,27,618,0,0,0,0,2,616,174,20,154,2,0,2,0,949,1166,129,9,92,27,1,0,20,18,2,16,165,16,508,1,0,507,17,8,6,3,541
