Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jul-10,Wheatbelt District,0,0,0,0,0,1,0,1,1,1,0,14,3,11,19,4,14,1,6,4,2,5,5,0,0,0,0,0,0,0,46,39,22,17,13,74,0,0,0,0,2,72,69,17,52,2,0,2,0,197,243,22,1,10,6,5,0,3,1,2,6,31,6,0,0,0,0,17,2,14,1,23
Aug-10,Wheatbelt District,2,0,0,0,2,6,4,2,8,7,1,14,2,12,23,6,15,2,5,3,2,9,9,0,0,0,0,0,0,0,67,51,40,11,11,91,0,0,0,0,1,90,75,14,61,2,0,2,0,230,297,47,3,23,19,2,0,3,0,3,6,56,6,3,0,0,3,10,1,8,1,19
Sep-10,Wheatbelt District,1,0,0,0,1,6,4,2,1,1,0,26,5,21,20,3,15,2,6,4,2,5,5,0,0,0,0,1,0,1,66,61,28,33,8,82,0,0,0,0,1,81,66,15,51,2,0,2,0,219,285,36,4,19,9,4,0,5,2,3,5,46,12,3,0,0,3,11,5,2,4,26
Oct-10,Wheatbelt District,1,1,0,0,0,6,6,0,26,26,0,27,4,23,22,4,14,4,3,2,1,11,10,1,0,0,0,1,0,1,97,52,27,25,4,84,0,0,0,0,1,83,74,9,65,4,1,3,0,218,315,31,0,15,16,0,0,3,2,1,11,45,8,2,0,0,2,7,2,2,3,17
Nov-10,Wheatbelt District,1,0,0,0,1,2,1,1,0,0,0,23,4,19,42,5,29,8,3,3,0,6,5,1,1,0,1,0,0,0,78,53,30,23,1,75,0,0,0,0,0,75,91,12,79,0,0,0,0,220,298,51,9,18,22,1,1,1,1,0,2,54,10,1,0,0,1,13,4,4,5,24
Dec-10,Wheatbelt District,0,0,0,0,0,2,0,2,5,5,0,17,4,13,20,5,14,1,3,3,0,12,8,4,0,0,0,0,0,0,59,72,30,42,11,82,0,0,0,0,0,82,73,9,64,4,1,3,0,242,301,28,0,11,13,4,0,6,3,3,1,35,10,3,0,0,3,13,5,6,2,26
Jan-11,Wheatbelt District,0,0,0,0,0,0,0,0,4,4,0,23,7,16,26,6,17,3,0,0,0,4,4,0,0,0,0,0,0,0,57,76,33,43,13,64,0,0,0,0,1,63,116,12,104,16,16,0,0,285,342,33,1,11,16,4,1,1,1,0,1,35,7,5,2,0,3,7,4,2,1,19
Feb-11,Wheatbelt District,0,0,0,0,0,2,1,1,5,5,0,28,7,21,31,9,21,1,2,2,0,5,4,1,1,0,1,0,0,0,74,54,32,22,8,63,0,0,0,0,1,62,74,7,67,5,1,4,0,204,278,47,0,21,20,6,0,3,1,2,8,58,8,0,0,0,0,17,10,4,3,25
Mar-11,Wheatbelt District,0,0,0,0,0,4,2,2,7,4,3,23,7,16,28,14,13,1,14,8,6,6,6,0,1,0,1,1,0,1,84,49,23,26,7,68,0,0,0,0,0,68,72,9,63,3,1,2,0,199,283,42,4,14,17,5,2,2,1,1,8,52,7,45,4,0,41,8,4,2,2,60
Apr-11,Wheatbelt District,0,0,0,0,0,1,0,1,1,1,0,16,6,10,25,10,14,1,5,5,0,6,5,1,1,0,1,0,0,0,55,83,49,34,12,73,0,0,0,0,1,72,69,12,57,3,0,3,0,240,295,52,6,22,20,4,0,3,3,0,7,62,7,206,0,0,206,11,9,2,0,224
