Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Sep-09,Mirrabooka District,0,0,0,0,0,27,17,10,15,15,0,63,12,51,86,30,56,0,10,8,2,29,23,6,1,0,1,23,1,22,254,196,137,59,36,602,0,0,0,0,2,600,283,37,246,9,0,9,0,1126,1380,152,13,79,51,6,3,27,18,9,25,204,58,317,1,0,316,41,31,5,5,416
Oct-09,Mirrabooka District,2,0,0,0,2,13,6,7,8,8,0,66,20,46,124,36,82,6,7,5,2,21,13,8,2,0,2,18,0,18,261,243,171,72,46,689,0,0,0,0,2,687,308,50,258,15,1,14,0,1301,1562,142,16,66,48,11,1,8,6,2,23,173,65,122,2,0,120,58,43,10,5,245
Nov-09,Mirrabooka District,0,0,0,0,0,22,12,10,6,6,0,75,24,51,123,45,75,3,2,2,0,21,15,6,2,1,1,12,1,11,263,239,173,66,40,680,0,0,0,0,8,672,335,60,275,7,1,6,0,1301,1564,173,22,75,64,12,0,22,17,5,23,218,58,47,1,0,46,62,45,5,12,167
Dec-09,Mirrabooka District,2,0,0,0,2,11,7,4,9,9,0,93,23,70,131,52,75,4,3,2,1,24,16,8,6,0,6,19,0,19,298,257,212,45,41,685,0,0,0,0,6,679,319,46,273,12,0,12,0,1314,1612,159,31,77,45,5,1,17,14,3,15,191,39,47,1,0,46,56,26,20,10,142
Jan-10,Mirrabooka District,1,1,0,0,0,513,9,504,8,8,0,97,19,78,106,40,60,6,4,4,0,16,8,8,4,0,4,26,1,25,775,316,275,41,69,658,0,0,0,0,7,651,368,37,331,12,2,10,0,1423,2198,113,16,54,33,8,2,17,13,4,22,152,40,62,4,0,58,51,28,17,6,153
Feb-10,Mirrabooka District,2,2,0,0,0,16,14,2,10,10,0,87,25,62,89,32,51,6,3,2,1,20,11,9,0,0,0,10,1,9,237,294,231,63,52,599,0,0,0,0,8,591,268,24,244,9,1,8,0,1222,1459,118,7,68,35,5,3,22,15,7,18,158,41,40,1,0,39,101,72,25,4,182
Mar-10,Mirrabooka District,0,0,0,0,0,36,26,10,9,9,0,74,20,54,108,36,64,8,2,1,1,18,8,10,2,0,2,26,1,25,275,290,230,60,56,625,0,0,0,0,4,621,257,25,232,6,1,5,0,1234,1509,134,11,68,47,7,1,36,28,8,13,183,34,57,2,0,55,63,51,10,2,154
Apr-10,Mirrabooka District,1,1,0,0,0,9,4,5,11,11,0,65,18,47,73,21,52,0,7,7,0,25,16,9,1,0,1,15,1,14,207,228,184,44,58,609,0,0,0,0,2,607,254,32,222,8,0,8,0,1157,1364,122,11,62,34,13,2,18,14,4,15,155,22,58,3,0,55,62,48,7,7,142
May-10,Mirrabooka District,1,0,0,0,1,21,14,7,18,17,1,80,20,60,85,38,46,1,4,3,1,19,12,7,3,0,3,26,1,25,257,232,169,63,54,592,0,0,0,0,4,588,254,31,223,3,0,3,0,1135,1392,182,21,105,52,4,0,25,21,4,26,233,66,62,7,0,55,59,16,6,37,187
Jun-10,Mirrabooka District,0,0,0,0,0,19,17,2,25,18,7,62,20,42,77,19,52,6,6,4,2,18,8,10,3,0,3,21,5,16,231,221,181,40,48,616,0,0,0,0,3,613,291,37,254,6,0,6,0,1182,1413,169,20,84,53,12,0,12,10,2,11,192,37,73,0,0,73,40,27,7,6,150
