Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-10,Regional WA,0,0,0,0,0,65,39,26,16,16,0,303,120,183,373,130,201,42,26,17,9,81,55,26,4,0,4,15,1,14,883,709,473,236,126,1116,0,0,0,0,14,1102,956,124,832,34,11,23,0,2941,3824,497,31,222,156,66,22,42,18,24,49,588,103,89,7,0,82,113,65,22,26,305
Feb-10,Regional WA,2,1,0,0,1,107,68,39,47,46,1,267,107,160,337,108,193,36,33,24,9,66,49,17,7,0,7,18,4,14,884,565,349,216,132,956,0,0,0,0,13,943,817,110,707,37,13,24,0,2507,3391,479,42,184,167,75,11,50,31,19,62,591,47,110,8,0,102,176,106,39,31,333
Mar-10,Regional WA,4,0,1,0,3,45,33,12,84,70,14,276,108,168,357,111,215,31,27,16,11,86,47,39,8,0,8,7,0,7,894,695,412,283,155,1194,0,0,0,0,19,1175,944,109,835,32,5,27,0,3020,3914,549,36,242,177,75,19,41,21,20,67,657,93,95,1,0,94,192,122,47,23,380
Apr-10,Regional WA,3,0,0,0,3,48,38,10,38,38,0,221,88,133,270,97,146,27,27,21,6,50,26,24,9,0,9,25,2,23,691,575,353,222,147,1116,0,0,0,0,12,1104,824,102,722,31,2,29,0,2693,3384,406,22,188,141,47,8,39,17,22,42,487,135,82,2,0,80,100,50,31,19,317
May-10,Regional WA,5,0,0,1,4,36,26,10,28,27,1,205,72,133,347,100,206,41,27,22,5,53,31,22,8,0,8,10,2,8,719,622,410,212,126,1108,0,0,0,0,6,1102,815,99,716,30,1,29,0,2701,3420,520,58,235,183,35,9,48,29,19,44,612,86,379,2,0,377,193,125,42,26,658
Jun-10,Regional WA,2,0,0,0,2,83,34,49,75,75,0,232,92,140,263,84,155,24,34,19,15,65,42,23,6,0,6,32,2,30,792,502,337,165,130,1089,0,0,0,0,5,1084,807,76,731,28,1,27,0,2556,3348,481,37,213,185,31,15,32,20,12,48,561,106,38,1,0,37,156,81,48,27,300
Jul-10,Regional WA,6,2,0,0,4,40,30,10,47,46,1,236,100,136,284,77,178,29,26,14,12,51,34,17,5,0,5,10,2,8,705,530,370,160,121,1032,0,0,0,0,17,1015,743,101,642,26,1,25,0,2452,3157,343,23,169,122,22,7,22,14,8,57,422,99,19,1,0,18,165,104,34,27,283
Aug-10,Regional WA,4,0,0,0,4,54,35,19,36,25,11,235,80,155,258,78,154,26,34,20,14,65,37,28,2,0,2,14,0,14,702,534,368,166,114,1016,0,0,0,0,13,1003,757,89,668,51,20,31,0,2472,3174,462,41,200,180,34,7,44,25,19,56,562,100,96,3,0,93,121,57,35,29,317
Sep-10,Regional WA,2,1,0,0,1,43,31,12,46,46,0,249,88,161,262,88,149,25,35,22,13,67,30,37,2,1,1,6,0,6,712,563,364,199,111,985,0,0,0,0,12,973,721,105,616,28,3,25,0,2408,3120,469,40,211,172,30,16,44,29,15,60,573,89,22,3,0,19,154,79,26,49,265
Oct-10,Regional WA,4,1,1,0,2,38,32,6,65,64,1,265,92,173,308,97,179,32,22,17,5,64,37,27,10,0,10,17,2,15,793,657,457,200,168,1170,0,0,0,0,12,1158,894,110,784,29,5,24,0,2918,3711,450,37,202,167,36,8,38,29,9,64,552,133,61,4,0,57,150,61,53,36,344
Nov-10,Regional WA,3,0,0,0,3,62,40,22,49,36,13,282,108,174,382,118,228,36,29,12,17,74,36,38,9,0,9,10,0,10,900,650,440,210,143,1201,0,0,0,0,9,1192,900,105,795,24,4,20,0,2918,3818,452,34,216,157,37,8,35,19,16,39,526,146,130,9,0,121,141,72,33,36,417
Dec-10,Regional WA,6,1,0,1,4,50,36,14,10,10,0,335,127,208,321,120,173,28,34,25,9,67,36,31,7,1,6,10,0,10,840,589,383,206,159,1169,0,0,0,0,8,1161,857,110,747,41,7,34,0,2815,3655,362,19,175,125,38,5,35,23,12,30,427,69,53,3,0,50,152,70,45,37,274
Jan-11,Regional WA,2,0,0,0,2,47,32,15,30,28,2,316,140,176,340,104,208,28,22,14,8,59,28,31,6,0,6,5,0,5,827,848,556,292,201,1309,0,0,0,0,6,1303,976,130,846,51,21,30,0,3385,4212,318,21,159,105,29,4,36,24,12,56,410,95,82,4,0,78,216,131,48,37,393
Feb-11,Regional WA,9,2,0,1,6,36,22,14,28,26,2,302,112,190,321,112,190,19,24,20,4,39,19,20,3,0,3,17,0,17,779,730,479,251,170,1166,0,0,0,0,9,1157,842,126,716,41,2,39,0,2949,3728,359,14,130,133,71,11,40,19,21,66,465,104,148,1,0,147,158,76,48,34,410
Mar-11,Regional WA,2,0,0,1,1,53,41,12,37,34,3,277,105,172,354,112,207,35,35,21,14,69,45,24,3,0,3,19,1,18,849,672,441,231,168,1249,0,0,0,0,11,1238,853,125,728,26,1,23,2,2968,3817,453,47,176,160,60,10,51,30,21,58,562,102,86,4,0,82,122,62,27,33,310
Apr-11,Regional WA,0,0,0,0,0,60,50,10,11,10,1,259,78,181,289,99,156,34,35,32,3,50,36,14,10,0,10,19,0,19,733,718,437,281,131,1146,0,0,0,0,11,1135,802,107,695,29,2,27,0,2826,3559,521,79,227,164,40,11,41,24,17,39,601,101,249,2,0,247,248,180,41,27,598
May-11,Regional WA,2,0,0,0,2,32,26,6,11,11,0,227,80,147,304,99,182,23,24,16,8,55,30,25,1,0,1,4,1,3,660,655,458,197,111,1214,0,0,0,0,11,1203,860,112,748,25,2,22,1,2865,3525,471,43,228,159,32,9,39,24,15,44,554,128,146,0,0,146,173,120,34,19,447
Jun-11,Regional WA,3,0,0,0,3,44,26,18,40,40,0,239,65,174,284,96,162,26,34,23,11,64,35,29,5,3,2,16,2,14,729,601,380,221,114,1135,0,0,0,0,4,1131,755,89,666,32,4,28,0,2637,3366,479,47,225,172,28,7,29,20,9,58,566,53,98,1,0,97,125,83,19,23,276
Jul-11,Regional WA,1,0,1,0,0,37,29,8,35,20,15,229,84,145,264,87,149,28,33,25,8,44,26,18,4,0,4,17,2,15,664,486,323,163,101,997,0,0,0,0,8,989,767,95,672,40,5,35,0,2391,3055,370,29,181,137,20,3,29,18,11,59,458,66,63,5,0,58,125,63,25,37,254
Aug-11,Regional WA,5,1,0,0,4,47,37,10,21,18,3,250,86,164,308,90,195,23,33,22,11,54,31,23,7,1,6,10,2,8,735,559,357,202,109,1058,0,0,0,0,8,1050,751,97,654,26,3,23,0,2503,3238,559,53,248,215,40,3,36,21,15,70,665,98,184,121,0,63,156,85,37,34,438
Sep-11,Regional WA,3,0,0,1,2,61,50,11,31,29,2,258,94,164,262,85,152,25,28,12,16,53,26,27,8,0,8,16,1,15,720,534,354,180,101,1097,0,0,0,0,10,1087,751,99,652,57,12,45,0,2540,3260,532,69,234,192,32,5,26,16,10,44,602,85,40,11,0,29,175,108,29,38,300
Oct-11,Regional WA,4,0,0,1,3,33,26,7,56,45,11,271,96,175,270,95,148,27,17,12,5,46,23,23,2,0,2,12,3,9,711,565,361,204,119,1092,0,0,0,0,6,1086,871,107,764,25,2,23,0,2672,3383,398,42,187,141,19,9,42,31,11,54,494,77,55,2,0,53,173,107,27,39,305
Nov-11,Regional WA,1,0,0,0,1,52,41,11,37,28,9,271,84,187,291,103,159,29,23,14,9,71,33,38,3,1,2,16,2,14,765,551,356,195,110,1155,0,0,0,0,8,1147,837,102,735,19,5,13,1,2672,3437,446,37,218,152,27,12,35,21,14,78,559,103,33,2,0,31,171,89,21,61,307
Dec-11,Regional WA,5,1,1,0,3,32,25,7,46,35,11,367,127,240,282,97,154,31,34,20,14,63,32,31,5,0,5,8,1,7,842,711,459,252,126,1136,0,0,0,0,9,1127,907,144,763,20,5,15,0,2900,3742,388,37,187,132,29,3,34,23,11,67,489,53,101,3,0,98,220,159,26,35,374
